app_name,developer_name,regulated_entity,source_date,source_url,platform,app_url,raw_app_url,package_id,source_record_no,is_demo
Fibe,Social Worth Technologies Limited,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Play store,https://play.google.com/store/apps/details?id=com.earlysalary.android,https://play.google.com/store/apps/details?id=com.earlysalary.android,com.earlysalary.android,2429,0
Fibe,Social Worth Technologies Limited,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.fibe.in/,https://www.fibe.in/,,2430,0
Fibe,Social Worth Technologies Limited,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.fibe.in/,https://www.fibe.in/,,2431,0
Finfinity,Synergenius Growth Pvt Ltd,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,App Store,https://apps.apple.com/in/app/finfinity/id6737900071,https://apps.apple.com/in/app/finfinity/id6737900071,,2432,0
Finfinity,Synergenius Growth Pvt Ltd,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,App Store,https://apps.apple.com/in/app/finfinity/id6737900071,https://apps.apple.com/in/app/finfinity/id6737900071,,2433,0
Finfinity,Synergenius Growth Pvt Ltd,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Play store,https://play.google.com/store/apps/details?id=com.finfinity.co.in,https://play.google.com/store/apps/details?id=com.finfinity.co.in,com.finfinity.co.in,2434,0
Finfinity,Synergenius Growth Pvt Ltd,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Play store,https://play.google.com/store/apps/details?id=com.finfinity.co.in,https://play.google.com/store/apps/details?id=com.finfinity.co.in,com.finfinity.co.in,2435,0
Finfinity,Synergenius Growth Pvt Ltd,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.finfinity.co.in/,https://www.finfinity.co.in/,,2436,0
Finfinity,Synergenius Growth Pvt Ltd,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.finfinity.co.in/,https://www.finfinity.co.in/,,2437,0
Finnable,Finnable Technologies Pvt. Ltd.,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,App Store,https://apps.apple.com/in/app/finnable/id1453358250,https://apps.apple.com/in/app/finnable/id1453358250,,2438,0
Finnable,Finnable Technologies Pvt. Ltd.,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,App Store,https://apps.apple.com/in/app/finnable/id1453358250,https://apps.apple.com/in/app/finnable/id1453358250,,2439,0
Finnable,Finnable Technologies Pvt. Ltd.,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Play store,https://play.google.com/store/apps/details?id=com.finnable.customer,https://play.google.com/store/apps/details?id=com.finnable.customer,com.finnable.customer,2440,0
Finnable,Finnable Technologies Pvt. Ltd.,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Play store,https://play.google.com/store/apps/details?id=com.finnable.customer,https://play.google.com/store/apps/details?id=com.finnable.customer,com.finnable.customer,2441,0
Finnable,Finnable Technologies Pvt. Ltd.,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.finnable.com/,https://www.finnable.com/,,2442,0
Finnable,Finnable Technologies Pvt. Ltd.,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.finnable.com/,https://www.finnable.com/,,2443,0
Indmoney [Other - Disbursal Drawdown],Finzoomers Services Private Limited,TATA CAPITAL LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,App store,https://apps.apple.com/in/app/indmoney-stocks-mutual-funds/id1450178837,https://apps.apple.com/in/app/indmoney-stocks-mutual-funds/id1450178837,,2444,0
